"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","120457","tc02_inValidLogin","Flipkart Regression Suite","Wed Jul 22 04:21:13 GMT 2026","broken","Wed Jul 22 04:23:13 GMT 2026","tests.RegressionTest","Regression Tests","tests.RegressionTest","tc02_inValidLogin"
"","6402","tc10_verifyPaginationNextPageLoadsCorrectly","Flipkart Regression Suite","Wed Jul 22 04:27:26 GMT 2026","passed","Wed Jul 22 04:27:32 GMT 2026","tests.RegressionTest","Regression Tests","tests.RegressionTest","tc10_verifyPaginationNextPageLoadsCorrectly"
"","22686","tc13_verifyProductSpecs","Flipkart Regression Suite","Wed Jul 22 04:28:02 GMT 2026","failed","Wed Jul 22 04:28:25 GMT 2026","tests.RegressionTest","Regression Tests","tests.RegressionTest","tc13_verifyProductSpecs"
"","22753","tc15_buyNowTest","Flipkart Regression Suite","Wed Jul 22 04:28:47 GMT 2026","failed","Wed Jul 22 04:29:10 GMT 2026","tests.RegressionTest","Regression Tests","tests.RegressionTest","tc15_buyNowTest"
"","4848","tc05_verifySearchBarValid","Flipkart Regression Suite","Wed Jul 22 04:25:48 GMT 2026","passed","Wed Jul 22 04:25:53 GMT 2026","tests.RegressionTest","Regression Tests","tests.RegressionTest","tc05_verifySearchBarValid"
"","33858","tc04_verifyProductCategoryNavigation","Flipkart Regression Suite","Wed Jul 22 04:25:14 GMT 2026","failed","Wed Jul 22 04:25:48 GMT 2026","tests.RegressionTest","Regression Tests","tests.RegressionTest","tc04_verifyProductCategoryNavigation"
"","6606","tc11_verifyOutOfStockItemsOnPLP","Flipkart Regression Suite","Wed Jul 22 04:27:32 GMT 2026","passed","Wed Jul 22 04:27:39 GMT 2026","tests.RegressionTest","Regression Tests","tests.RegressionTest","tc11_verifyOutOfStockItemsOnPLP"
"","129475","tc01_validLogin","Flipkart Regression Suite","Wed Jul 22 04:19:03 GMT 2026","broken","Wed Jul 22 04:21:13 GMT 2026","tests.RegressionTest","Regression Tests","tests.RegressionTest","tc01_validLogin"
"","4648","tc06_verifySearchBarSmartSuggestions","Flipkart Regression Suite","Wed Jul 22 04:25:53 GMT 2026","passed","Wed Jul 22 04:25:58 GMT 2026","tests.RegressionTest","Regression Tests","tests.RegressionTest","tc06_verifySearchBarSmartSuggestions"
"","22544","tc14_addToCartFromPDPTest","Flipkart Regression Suite","Wed Jul 22 04:28:25 GMT 2026","failed","Wed Jul 22 04:28:47 GMT 2026","tests.RegressionTest","Regression Tests","tests.RegressionTest","tc14_addToCartFromPDPTest"
"","120447","tc03_verifyTopNavigationMenus","Flipkart Regression Suite","Wed Jul 22 04:23:14 GMT 2026","broken","Wed Jul 22 04:25:14 GMT 2026","tests.RegressionTest","Regression Tests","tests.RegressionTest","tc03_verifyTopNavigationMenus"
"","12718","tc07_verifySearchFilters","Flipkart Regression Suite","Wed Jul 22 04:25:58 GMT 2026","passed","Wed Jul 22 04:26:10 GMT 2026","tests.RegressionTest","Regression Tests","tests.RegressionTest","tc07_verifySearchFilters"
"","66646","tc09_verifySortByPriceLowToHigh","Flipkart Regression Suite","Wed Jul 22 04:26:19 GMT 2026","failed","Wed Jul 22 04:27:26 GMT 2026","tests.RegressionTest","Regression Tests","tests.RegressionTest","tc09_verifySortByPriceLowToHigh"
"","23120","tc12_verifyProductImagesCarousel","Flipkart Regression Suite","Wed Jul 22 04:27:39 GMT 2026","failed","Wed Jul 22 04:28:02 GMT 2026","tests.RegressionTest","Regression Tests","tests.RegressionTest","tc12_verifyProductImagesCarousel"
"","8254","tc08_verifyProductCardsOnPLP","Flipkart Regression Suite","Wed Jul 22 04:26:11 GMT 2026","passed","Wed Jul 22 04:26:19 GMT 2026","tests.RegressionTest","Regression Tests","tests.RegressionTest","tc08_verifyProductCardsOnPLP"
