"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","23874","tc15_buyNowTest","Flipkart Regression Suite","Thu Mar 19 03:49:10 GMT 2026","failed","Thu Mar 19 03:49:33 GMT 2026","tests.RegressionTest","Regression Tests","tests.RegressionTest","tc15_buyNowTest"
"","22700","tc13_verifyProductSpecs","Flipkart Regression Suite","Thu Mar 19 03:48:24 GMT 2026","failed","Thu Mar 19 03:48:47 GMT 2026","tests.RegressionTest","Regression Tests","tests.RegressionTest","tc13_verifyProductSpecs"
"","33490","tc03_verifyTopNavigationMenus","Flipkart Regression Suite","Thu Mar 19 03:46:06 GMT 2026","failed","Thu Mar 19 03:46:40 GMT 2026","tests.RegressionTest","Regression Tests","tests.RegressionTest","tc03_verifyTopNavigationMenus"
"","6254","tc11_verifyOutOfStockItemsOnPLP","Flipkart Regression Suite","Thu Mar 19 03:47:54 GMT 2026","passed","Thu Mar 19 03:48:01 GMT 2026","tests.RegressionTest","Regression Tests","tests.RegressionTest","tc11_verifyOutOfStockItemsOnPLP"
"","4828","tc05_verifySearchBarValid","Flipkart Regression Suite","Thu Mar 19 03:47:13 GMT 2026","passed","Thu Mar 19 03:47:18 GMT 2026","tests.RegressionTest","Regression Tests","tests.RegressionTest","tc05_verifySearchBarValid"
"","12571","tc07_verifySearchFilters","Flipkart Regression Suite","Thu Mar 19 03:47:23 GMT 2026","passed","Thu Mar 19 03:47:35 GMT 2026","tests.RegressionTest","Regression Tests","tests.RegressionTest","tc07_verifySearchFilters"
"","5188","tc09_verifySortByPriceLowToHigh","Flipkart Regression Suite","Thu Mar 19 03:47:44 GMT 2026","passed","Thu Mar 19 03:47:49 GMT 2026","tests.RegressionTest","Regression Tests","tests.RegressionTest","tc09_verifySortByPriceLowToHigh"
"","120423","tc02_inValidLogin","Flipkart Regression Suite","Thu Mar 19 03:44:06 GMT 2026","broken","Thu Mar 19 03:46:06 GMT 2026","tests.RegressionTest","Regression Tests","tests.RegressionTest","tc02_inValidLogin"
"","5007","tc06_verifySearchBarSmartSuggestions","Flipkart Regression Suite","Thu Mar 19 03:47:18 GMT 2026","passed","Thu Mar 19 03:47:23 GMT 2026","tests.RegressionTest","Regression Tests","tests.RegressionTest","tc06_verifySearchBarSmartSuggestions"
"","8100","tc08_verifyProductCardsOnPLP","Flipkart Regression Suite","Thu Mar 19 03:47:35 GMT 2026","passed","Thu Mar 19 03:47:43 GMT 2026","tests.RegressionTest","Regression Tests","tests.RegressionTest","tc08_verifyProductCardsOnPLP"
"","128511","tc01_validLogin","Flipkart Regression Suite","Thu Mar 19 03:41:57 GMT 2026","broken","Thu Mar 19 03:44:06 GMT 2026","tests.RegressionTest","Regression Tests","tests.RegressionTest","tc01_validLogin"
"","5597","tc10_verifyPaginationNextPageLoadsCorrectly","Flipkart Regression Suite","Thu Mar 19 03:47:49 GMT 2026","passed","Thu Mar 19 03:47:54 GMT 2026","tests.RegressionTest","Regression Tests","tests.RegressionTest","tc10_verifyPaginationNextPageLoadsCorrectly"
"","22881","tc12_verifyProductImagesCarousel","Flipkart Regression Suite","Thu Mar 19 03:48:01 GMT 2026","failed","Thu Mar 19 03:48:24 GMT 2026","tests.RegressionTest","Regression Tests","tests.RegressionTest","tc12_verifyProductImagesCarousel"
"","22880","tc14_addToCartFromPDPTest","Flipkart Regression Suite","Thu Mar 19 03:48:47 GMT 2026","failed","Thu Mar 19 03:49:10 GMT 2026","tests.RegressionTest","Regression Tests","tests.RegressionTest","tc14_addToCartFromPDPTest"
"","32703","tc04_verifyProductCategoryNavigation","Flipkart Regression Suite","Thu Mar 19 03:46:40 GMT 2026","failed","Thu Mar 19 03:47:13 GMT 2026","tests.RegressionTest","Regression Tests","tests.RegressionTest","tc04_verifyProductCategoryNavigation"
