"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8285","tc08_verifyProductCardsOnPLP","Flipkart Regression Suite","Thu Sep 10 05:45:31 GMT 2026","passed","Thu Sep 10 05:45:39 GMT 2026","tests.RegressionTest","Regression Tests","tests.RegressionTest","tc08_verifyProductCardsOnPLP"
"","5213","tc09_verifySortByPriceLowToHigh","Flipkart Regression Suite","Thu Sep 10 05:45:39 GMT 2026","passed","Thu Sep 10 05:45:44 GMT 2026","tests.RegressionTest","Regression Tests","tests.RegressionTest","tc09_verifySortByPriceLowToHigh"
"","5644","tc10_verifyPaginationNextPageLoadsCorrectly","Flipkart Regression Suite","Thu Sep 10 05:45:45 GMT 2026","passed","Thu Sep 10 05:45:50 GMT 2026","tests.RegressionTest","Regression Tests","tests.RegressionTest","tc10_verifyPaginationNextPageLoadsCorrectly"
"","33292","tc04_verifyProductCategoryNavigation","Flipkart Regression Suite","Thu Sep 10 05:44:21 GMT 2026","failed","Thu Sep 10 05:44:54 GMT 2026","tests.RegressionTest","Regression Tests","tests.RegressionTest","tc04_verifyProductCategoryNavigation"
"","19241","tc06_verifySearchBarSmartSuggestions","Flipkart Regression Suite","Thu Sep 10 05:44:59 GMT 2026","failed","Thu Sep 10 05:45:18 GMT 2026","tests.RegressionTest","Regression Tests","tests.RegressionTest","tc06_verifySearchBarSmartSuggestions"
"","18846","tc02_inValidLogin","Flipkart Regression Suite","Thu Sep 10 05:43:28 GMT 2026","failed","Thu Sep 10 05:43:47 GMT 2026","tests.RegressionTest","Regression Tests","tests.RegressionTest","tc02_inValidLogin"
"","19439","tc15_buyNowTest","Flipkart Regression Suite","Thu Sep 10 05:46:53 GMT 2026","failed","Thu Sep 10 05:47:12 GMT 2026","tests.RegressionTest","Regression Tests","tests.RegressionTest","tc15_buyNowTest"
"","5222","tc05_verifySearchBarValid","Flipkart Regression Suite","Thu Sep 10 05:44:54 GMT 2026","passed","Thu Sep 10 05:44:59 GMT 2026","tests.RegressionTest","Regression Tests","tests.RegressionTest","tc05_verifySearchBarValid"
"","33344","tc03_verifyTopNavigationMenus","Flipkart Regression Suite","Thu Sep 10 05:43:47 GMT 2026","failed","Thu Sep 10 05:44:20 GMT 2026","tests.RegressionTest","Regression Tests","tests.RegressionTest","tc03_verifyTopNavigationMenus"
"","19091","tc13_verifyProductSpecs","Flipkart Regression Suite","Thu Sep 10 05:46:15 GMT 2026","failed","Thu Sep 10 05:46:34 GMT 2026","tests.RegressionTest","Regression Tests","tests.RegressionTest","tc13_verifyProductSpecs"
"","18622","tc14_addToCartFromPDPTest","Flipkart Regression Suite","Thu Sep 10 05:46:34 GMT 2026","failed","Thu Sep 10 05:46:53 GMT 2026","tests.RegressionTest","Regression Tests","tests.RegressionTest","tc14_addToCartFromPDPTest"
"","12230","tc07_verifySearchFilters","Flipkart Regression Suite","Thu Sep 10 05:45:19 GMT 2026","passed","Thu Sep 10 05:45:31 GMT 2026","tests.RegressionTest","Regression Tests","tests.RegressionTest","tc07_verifySearchFilters"
"","5321","tc11_verifyOutOfStockItemsOnPLP","Flipkart Regression Suite","Thu Sep 10 05:45:50 GMT 2026","failed","Thu Sep 10 05:45:56 GMT 2026","tests.RegressionTest","Regression Tests","tests.RegressionTest","tc11_verifyOutOfStockItemsOnPLP"
"","19239","tc12_verifyProductImagesCarousel","Flipkart Regression Suite","Thu Sep 10 05:45:56 GMT 2026","failed","Thu Sep 10 05:46:15 GMT 2026","tests.RegressionTest","Regression Tests","tests.RegressionTest","tc12_verifyProductImagesCarousel"
"","45109","tc01_validLogin","Flipkart Regression Suite","Thu Sep 10 05:42:43 GMT 2026","failed","Thu Sep 10 05:43:28 GMT 2026","tests.RegressionTest","Regression Tests","tests.RegressionTest","tc01_validLogin"
